iter	Passed	Remaining
463	765	884
464	767	883
465	769	881
466	770	879
467	772	877
468	773	876
469	775	874
470	780	876
471	782	875
472	784	873
473	785	871
474	786	869
475	788	867
476	789	865
477	790	863
478	792	861
479	793	859
480	794	857
481	795	855
482	797	853
483	799	851
484	800	849
485	801	847
486	802	845
487	804	843
488	805	841
489	806	839
490	807	837
491	809	835
492	810	833
493	812	831
494	813	829
495	814	827
496	815	825
497	816	823
498	818	821
499	819	819
500	820	817
501	822	815
502	823	813
503	824	811
504	826	809
505	828	808
506	829	806
507	830	804
508	832	802
509	833	801
510	834	799
511	836	797
512	837	795
513	838	793
514	839	791
515	842	790
516	843	788
517	845	786
518	846	784
519	847	782
520	849	780
521	850	778
522	851	776
523	852	774
524	854	772
525	857	772
526	858	770
527	859	768
528	861	766
529	862	764
530	863	762
531	865	760
532	866	759
533	867	757
534	868	755
535	870	753
536	873	753
537	874	751
538	876	749
539	877	747
540	879	745
541	880	743
542	881	741
543	882	739
544	883	737
545	884	735
546	887	735
547	888	733
548	890	731
549	891	729
550	892	727
551	893	725
552	894	723
553	895	721
554	897	719
555	898	717
556	899	715
557	901	714
558	902	712
559	904	710
560	905	708
561	906	706
562	907	704
563	909	702
564	910	701
565	911	699
566	913	697
567	914	695
568	915	693
569	916	691
570	917	689
571	919	687
572	920	685
573	921	683
574	922	681
575	923	679
576	924	677
577	925	675
578	927	674
579	928	672
580	929	670
581	931	669
582	932	667
583	934	665
584	935	663
585	936	661
586	937	659
587	939	657
588	940	656
589	941	654
590	942	652
591	943	650
592	947	650
593	948	648
594	949	646
595	950	644
596	951	642
597	952	640
598	953	638
599	955	636
600	956	634
601	957	632
602	958	630
603	959	629
604	961	627
605	962	626
606	964	624
607	965	622
608	966	620
609	967	618
610	968	616
611	970	615
612	971	613
613	973	611
614	974	610
615	976	608
616	978	607
617	979	605
618	980	603
619	982	602
620	983	600
621	985	598
622	986	597
623	988	595
624	989	593
625	991	592
626	993	590
627	994	589
628	996	587
629	997	585
630	999	584
631	1000	582
632	1001	580
633	1002	578
634	1003	576
635	1004	575
636	1006	573
637	1007	571
638	1008	569
639	1010	568
640	1011	566
641	1012	564
642	1013	562
643	1014	560
644	1015	558
645	1016	557
646	1017	555
647	1018	553
648	1021	552
649	1022	550
650	1024	549
651	1025	547
652	1026	545
653	1028	543
654	1029	542
655	1030	540
656	1032	539
657	1033	537
658	1035	535
659	1036	534
660	1038	532
661	1039	530
662	1040	528
663	1041	527
664	1042	525
665	1043	523
666	1045	521
667	1046	519
668	1047	518
669	1048	516
670	1051	515
671	1052	513
672	1053	512
673	1055	510
674	1056	508
675	1057	506
676	1058	505
677	1059	503
678	1060	501
679	1062	499
680	1063	498
681	1065	496
682	1066	495
683	1067	493
684	1069	491
685	1070	489
686	1071	488
687	1072	486
688	1074	484
689	1075	483
690	1076	481
691	1077	479
692	1080	478
693	1081	476
694	1083	475
695	1084	473
696	1086	472
697	1087	470
698	1088	468
699	1089	467
700	1091	465
701	1092	463
702	1093	462
703	1095	460
704	1096	458
705	1098	457
706	1099	455
707	1100	454
708	1102	452
709	1104	451
710	1105	449
711	1107	447
712	1108	446
713	1110	444
714	1111	443
715	1113	441
716	1114	439
717	1115	438
718	1116	436
719	1117	434
720	1118	432
721	1119	431
722	1120	429
723	1121	427
724	1124	426
725	1125	424
726	1126	423
727	1128	421
728	1129	419
729	1130	418
730	1131	416
731	1133	414
732	1134	413
733	1135	411
734	1136	409
735	1138	408
736	1139	406
737	1140	404
738	1142	403
739	1143	401
740	1144	399
741	1145	398
742	1146	396
743	1147	394
744	1148	393
745	1149	391
746	1151	389
747	1152	388
748	1153	386
749	1155	385
750	1156	383
751	1157	381
752	1158	380
753	1159	378
754	1160	376
755	1162	375
756	1163	373
757	1164	371
758	1165	370
759	1166	368
760	1168	366
761	1169	365
762	1170	363
763	1172	362
764	1173	360
765	1174	358
766	1175	357
767	1176	355
768	1177	353
769	1178	352
770	1179	350
771	1180	348
772	1182	347
773	1183	345
774	1185	344
775	1186	342
